SG ID,SG,SD ID,SD,New,Synoynm,,
300,Accident or Emergency,11000,Alcohol Intoxication,,,,
300,Accident or Emergency,11001,Animal Bite Wound,,,,
300,Accident or Emergency,11002,Assault,,,,
300,Accident or Emergency,11003,Closure By Suture,,,,
300,Accident or Emergency,11004,Human Bite - Wound,,,,
300,Accident or Emergency,11005,Hypoglycaemia Management,,,,
300,Accident or Emergency,11006,Laceration Of Skin,,,,
300,Accident or Emergency,11007,Local Infection Of Wound,,,,
300,Accident or Emergency,11008,Minor Head Injury,,,,
300,Accident or Emergency,11009,Muscle Strain,,,,
300,Accident or Emergency,11010,Open Wound Of Face,,,,
300,Accident or Emergency,11011,Soft Tissue Injury ,,,,
300,Accident or Emergency,11012,Splinter Foreign Body,,,,
300,Accident or Emergency,11013,Sprain,,,,
300,Accident or Emergency,11014,Suture Of Skin Wound,,,,
300,Accident or Emergency,11015,Wound Care,,,,
300,Accident or Emergency,11955,"Foreign Body - Ingested, Inhaled",,,,
300,Accident or Emergency,11956,"Foreign Body - Ear, Nose Removal Required",,,,
300,Accident or Emergency,11957,"Foreign Body - Vagina, Penis, Rectum",,,,
301,Diagnostics-Bloods,11016,Blood Test,,,,
301,Diagnostics-Bloods,11017,"Glucose Measurement, Blood",,,,
301,Diagnostics-Bloods,11018,PCR with features of substance or alcohol misuse,,,,
301,Diagnostics-Bloods,11019,Phlebotomist,,,,
301,Diagnostics-Bloods,11020,Viral Hepatitis Screening Test,,,,
302,Diagnostics-Imaging,11021,Analysis Of Arterial Blood Gases And PH,,,,
302,Diagnostics-Imaging,11022,Computerised Axial Tomography,,,,
302,Diagnostics-Imaging,11023,Doppler Studies,,,,
302,Diagnostics-Imaging,11024,Dual Energy X-Ray Photon Absorptiometry,,,,
302,Diagnostics-Imaging,11025,Endoscopy,,,,
302,Diagnostics-Imaging,11026,Magnetic Resonance Imaging,,,,
302,Diagnostics-Imaging,11027,Nuclear Medicine Procedure,,,,
302,Diagnostics-Imaging,11028,Ultrasonography,,,,
302,Diagnostics-Imaging,11029,X-Ray,,,,
303,Diagnostics-Screening,11030,Breast Screening Service,,,,
303,Diagnostics-Screening,11031,Cervical Cytology Test,,,,
303,Diagnostics-Screening,11032,chlamydia trachomatis screening,,,,
303,Diagnostics-Screening,11033,HIV Screening,,,,
303,Diagnostics-Screening,11034,Newborn Hearing Screening,,,,
303,Diagnostics-Screening,11823,Bacterial Vaginosis,,,,
303,Diagnostics-Screening,11824,Intrauterine contraceptive device procedure,,,,
303,Diagnostics-Screening,11826,post-exposure prophylaxis,,,,
303,Diagnostics-Screening,11924,Gonorrhoea testing,,,,
303,Diagnostics-Screening,11925,Hepatitis testing and vaccination,,,,
303,Diagnostics-Screening,11996,Skin Prick Tests,,,,
304,Diagnostics-Urinalysis,11035,Evaluation Of Urine Specimen,,,,
304,Diagnostics-Urinalysis,11036,Standard Pregnancy Test,,,,
305,Cardiology,11037,Atrial Fibrillation,,,,
305,Cardiology,11038,Atrial Flutter  ,,,,
305,Cardiology,11039,Blood Pressure Taking,,,,
305,Cardiology,11040,Bradycardia,,,,
305,Cardiology,11041,Cardiac Arrhythmia,,,,
305,Cardiology,11042,Cardiac Chest Pain  ,,,,
305,Cardiology,11043,Cardiac Pacemaker Malfunction,,,,
305,Cardiology,11044,Cardiac Rehabilitation,,,,
305,Cardiology,11045,Cardiac Support Group ,,,,
305,Cardiology,11046,Cardiovascular Disease Specialist Nurses,,,,
305,Cardiology,11047,Central Chest Pain  ,,,,
305,Cardiology,11048,Chest Pain,,,,
305,Cardiology,11049,Congestive Heart Failure,,,,
305,Cardiology,11050,Coronary Arteriosclerosis,,,,
305,Cardiology,11051,Deep Venous Thrombosis,,,,
305,Cardiology,11052,Endocarditis  ,,,,
305,Cardiology,11053,Heart Block  ,,,,
305,Cardiology,11054,Heart Failure  ,,,,
305,Cardiology,11055,Heart Irregular,,,,
305,Cardiology,11056,Hypertension,,,,
305,Cardiology,11057,Left Bundle Branch Block,,,,
305,Cardiology,11058,Left Ventricular Failure,,,,
305,Cardiology,11059,Leg Ulcer,,,,
305,Cardiology,11060,Low Blood Pressure,,,,
305,Cardiology,11061,Lymphoedema,,,,
305,Cardiology,11062,Myocardial Infarction,,,,
305,Cardiology,11063,Oedema ,,,,
305,Cardiology,11064,Palpitations ,,,,
305,Cardiology,11065,Pericarditis ,,,,
305,Cardiology,11066,Postural Hypotension,,,,
305,Cardiology,11067,Preinfarction Syndrome,,,,
305,Cardiology,11068,Raised Blood Pressure,,,,
305,Cardiology,11069,Rapid Atrial Fibrillation,,,,
305,Cardiology,11070,Right Bundle Branch Block,,,,
305,Cardiology,11071,Right Ventricular Failure,,,,
305,Cardiology,11072,Silent Myocardial Infarction,,,,
305,Cardiology,11073,Sinus Tachycardia,,,,
305,Cardiology,11074,Stable Angina,,,,
305,Cardiology,11075,Standard ECG,,,,
305,Cardiology,11076,Supraventricular Tachycardia,,,,
305,Cardiology,11077,Tachycardia ,,,,
305,Cardiology,11078,Venous Thrombosis,,,,
305,Cardiology,11079,Ventricular Fibrillation,,,,
305,Cardiology,11080,Ventricular Tachycardia,,,,
305,Cardiology,11081,Heart Failure Specialist Nurses,,,,
305,Cardiology,11846,Primary Percutaneous Coronary Intervention,,,,
306,Clinical Chemistry,11082,Dehydration  ,,,,
306,Clinical Chemistry,11083,Electrolyte Imbalance,,,,
306,Clinical Chemistry,11084,Hypercalcaemia  ,,,,
306,Clinical Chemistry,11085,Hyperglycaemia  ,,,,
306,Clinical Chemistry,11086,Hyperkalemia (Disorder),,,,
306,Clinical Chemistry,11087,Hypernatraemia  ,,,,
306,Clinical Chemistry,11088,Hypocalcaemia  ,,,,
306,Clinical Chemistry,11089,Hypoglycaemia  ,,,,
306,Clinical Chemistry,11090,Hypokalaemia  ,,,,
306,Clinical Chemistry,11091,Hyponatraemia  ,,,,
306,Clinical Chemistry,11092,Metabolic Acidosis  ,,,,
306,Clinical Chemistry,11093,Poisoning ,,,,
307,Dermatology,11094,Cellulitis  ,,,,
307,Dermatology,11095,Eczema,,,,
307,Dermatology,11096,Furuncle,,,,
307,Dermatology,11097,Impetigo ,,,,
307,Dermatology,11098,Rash,,,,
307,Dermatology,11951,Phototherapy,,,,
308,Endocrinology,11099,Addison Disease,,,,
308,Endocrinology,11100,Diabetes Mellitus,,,,
308,Endocrinology,11101,Diabetic Ketoacidosis,,,,
308,Endocrinology,11859,Insulin pump management,,,,
308,Endocrinology,11946,Diabetes - patient/carer education,,,,
309,Gastroenterology,11102,Abdominal Pain,,,,
309,Gastroenterology,11103,Achalasia ,,,,
309,Gastroenterology,11104,Ascites,,,,
309,Gastroenterology,11105,Cirrhosis Of Liver,,,,
309,Gastroenterology,11106,Constipation  ,,,,
309,Gastroenterology,11107,Crohn's Disease,,,,
309,Gastroenterology,11108,Diarrhoea ,,,,
309,Gastroenterology,11109,Diarrhoea And Vomiting,,,,
309,Gastroenterology,11110,Dysphagia  ,,,,
309,Gastroenterology,11111,Food Poisoning  ,,,,
309,Gastroenterology,11112,Gastric Haemorrhage,,,,
309,Gastroenterology,11113,Gastric Ulcer  ,,,,
309,Gastroenterology,11114,Gastric Ulcer  ,,,,
309,Gastroenterology,11115,Gastritis  ,,,,
309,Gastroenterology,11116,Gastroenteritis  ,,,,
309,Gastroenterology,11117,Gastroenterologist,,,,
309,Gastroenterology,11118,Gastrointestinal Haemorrhage,,,,
309,Gastroenterology,11119,Haematemesis ,,,,
309,Gastroenterology,11120,Hepatic Encephalopathy,,,,
309,Gastroenterology,11121,Hepatitis,,,,
309,Gastroenterology,11122,Indigestion   ,,,,
309,Gastroenterology,11123,Jaundice  ,,,,
309,Gastroenterology,11124,Liver Failure,,,,
309,Gastroenterology,11125,Malnutrition,,,,
309,Gastroenterology,11126,Melaena  ,,,,
309,Gastroenterology,11127,Oesophageal Stricture,,,,
309,Gastroenterology,11128,Peptic Ulcer ,,,,
309,Gastroenterology,11129,Peptic Ulcer Disease,,,,
309,Gastroenterology,11130,Ulcerative Colitis,,,,
309,Gastroenterology,11131,Ulcerative Colitis ,,,,
309,Gastroenterology,11132,Upper Gastrointestinal Haemorrhage,,,,
310,General Medicine,11133,Acute Collapse,,,,
310,General Medicine,11134,Acute Confusion,,,,
310,General Medicine,11135,Adverse Reaction To Drug,,,,
310,General Medicine,11136,Chronic Long Term Disease Management Required,,,,
310,General Medicine,11137,Drug Overdose,,,,
310,General Medicine,11138,Frail Elderly,,,,
310,General Medicine,11139,General Health Deterioration,,,,
310,General Medicine,11140,General Weakness,,,,
310,General Medicine,11141,Generally Unwell  ,,,,
310,General Medicine,11142,GP Out Of Hours ,,,,
310,General Medicine,11143,House Officer,,,,
310,General Medicine,11144,Hypothermia  ,,,,
310,General Medicine,11145,Integrated Discharge Team – Transitional Beds,,,,
310,General Medicine,11146,Intermediate care Team,,,,
310,General Medicine,11147,Itching Of Skin,,,,
310,General Medicine,11148,Malaise  ,,,,
310,General Medicine,11149,Medical Practitioner,,,,
310,General Medicine,11150,Musculoskeletal Immobility,,,,
310,General Medicine,11151,Nausea  ,,,,
310,General Medicine,11152,Non-Cardiac Chest Pain,,,,
310,General Medicine,11153,Primary Care Practitioner (PCP),,,,
310,General Medicine,11154,Rapid Response Team ,,,,
310,General Medicine,11155,Self Neglect  ,,,,
310,General Medicine,11156,Semiconscious ,,,,
310,General Medicine,11157,Toxic Confusional State  ,,,,
310,General Medicine,11158,Urgent Care Centre,,,,
310,General Medicine,11159,Vomiting ,,,,
310,General Medicine,11932,influenza virus vaccine (product),,,,
311,Haematology,11160,Anaemia,,,,
311,Haematology,11161,Blood Coagulation Disorder,,,,
311,Haematology,11162,Blood Transfusion,,,,
311,Haematology,11163,Dalteparin,,,,
311,Haematology,11164,Easy Bruising,,,,
311,Haematology,11165,Full Blood Count,,,,
311,Haematology,11166,Hodgkin Lymphoma,,,,
311,Haematology,11167,Leucocytosis,,,,
311,Haematology,11168,Leukaemia  ,,,,
311,Haematology,11169,Lymphoma  ,,,,
311,Haematology,11170,Monitoring Of International Normalised Ratio,,,,
311,Haematology,11171,Multiple Myeloma,,,,
311,Haematology,11172,Myelofibrosis,,,,
311,Haematology,11173,Neutropenia,,,,
311,Haematology,11174,Non-Blanching Rash,,,,
311,Haematology,11175,Non-Hodgkin's Lymphoma (Clinical),,,,
311,Haematology,11176,Pancytopenia,,,,
311,Haematology,11177,Sickle Cell Disease,,,,
311,Haematology,11178,Thrombocytopenia ,,,,
311,Haematology,12000,Anticoagulation (drug monitoring),,,,
312,Immunology,11179,Drug Allergy ,,,,
312,Immunology,11180,Immune Hypersensitivity Reaction,,,,
313,Infectious Diseases,11181,Candidiasis Of Mouth,,,,
313,Infectious Diseases,11182,Candidiasis Of Urogenital Site,,,,
313,Infectious Diseases,11183,Genital Herpes Simplex,,,,
313,Infectious Diseases,11184,Herpes Zoster,,,,
313,Infectious Diseases,11185,Infection Of Skin And/Or Subcutaneous Tissue,,,,
313,Infectious Diseases,11186,Infectious Mononucleosis,,,,
313,Infectious Diseases,11187,Influenza ,,,,
313,Infectious Diseases,11188,Influenza-Like Illness,,,,
313,Infectious Diseases,11189,Insect Sting,,,,
313,Infectious Diseases,11190,Intravenous Antibiotic Therapy,,,,
313,Infectious Diseases,11191,Malaria  ,,,,
313,Infectious Diseases,11192,Measles ,,,,
313,Infectious Diseases,11193,Methicillin Resistant Staphylococcus Aureus Infection,,,,
313,Infectious Diseases,11194,Mumps ,,,,
313,Infectious Diseases,11195,Pyrexia Of Unknown Origin,,,,
313,Infectious Diseases,11196,Rigor,,,,
313,Infectious Diseases,11197,Septicaemia ,,,,
313,Infectious Diseases,11198,Tropical Disease,,,,
313,Infectious Diseases,11199,Tuberculosis ,,,,
313,Infectious Diseases,11200,Varicella,,,,
313,Infectious Diseases,11201,Viraemia ,,,,
313,Infectious Diseases,11202,Viral Disease,,,,
313,Infectious Diseases,11203,Viral Gastritis ,,,,
313,Infectious Diseases,11204,Weil's Disease ,,,,
313,Infectious Diseases,11825,Syphilis,,,,
313,Infectious diseases,11856,Scabies,,,,
314,Neurology,11205,Acute Poliomyelitis,,,,
314,Neurology,11206,Ataxia  ,,,,
314,Neurology,11207,Bell's Palsy ,,,,
314,Neurology,11208,Blackout,,,,
314,Neurology,11209,Brain Tumour,,,,
314,Neurology,11210,Cerebrovascular Accident,,,,
314,Neurology,11211,Community Stroke Service,,,,
314,Neurology,11212,Disorder Of Nervous System,,,,
314,Neurology,11213,Dizziness  ,,,,
314,Neurology,11214,Drowsiness  ,,,,
314,Neurology,11215,Dysphasia ,,,,
314,Neurology,11216,Encephalitis  ,,,,
314,Neurology,11217,Epilepsy  ,,,,
314,Neurology,11218,Giant Cell Arteritis ,,,,
314,Neurology,11219,Guillain-Barré Syndrome,,,,
314,Neurology,11220,Headache ,,,,
314,Neurology,11221,Hemiparesis  ,,,,
314,Neurology,11222,Huntington's Chorea (Disorder),,,,
314,Neurology,11223,Intracranial Haemorrhage,,,,
314,Neurology,11224,Loss Of Consciousness  ,,,,
314,Neurology,11225,Meningitis  ,,,,
314,Neurology,11226,Migraine  ,,,,
314,Neurology,11227,Motor Neuron Disease,,,,
314,Neurology,11228,MS Nurse (Multiple sclerosis),,,,
314,Neurology,11229,Multiple Sclerosis,,,,
314,Neurology,11230,Multiple Sclerosis ,,,,
314,Neurology,11231,Muscular Dystrophy  ,,,,
314,Neurology,11232,Myopathy,,,,
314,Neurology,11233,Nerve Injury,,,,
314,Neurology,11234,Neuro Team,,,,
314,Neurology,11235,Neurological Rehabilitation,,,,
314,Neurology,11236,Neuropathy ,,,,
314,Neurology,11237,Numbness ,,,,
314,Neurology,11238,Paraesthesia  ,,,,
314,Neurology,11239,Paralysis  ,,,,
314,Neurology,11240,Paraparesis ,,,,
314,Neurology,11241,Parkinson's Disease,,,,
314,Neurology,11242,Post brain injury,,,,
314,Neurology,11243,Post brain surgery,,,,
314,Neurology,11244,Proximal Myopathy ,,,,
314,Neurology,11245,Recurrent Falls,,,,
314,Neurology,11246,Right Hemiparesis,,,,
314,Neurology,11247,Seizure,,,,
314,Neurology,11248,Stroke Rehabilitation,,,,
314,Neurology,11249,Subarachnoid Haemorrhage ,,,,
314,Neurology,11250,Transient Ischemic Attack (Disorder),,,,
314,Neurology,11251,Unconscious ,,,,
314,Neurology,11252,Viral Encephalitis ,,,,
314,Neurology,11253,Viral Meningitis ,,,,
314,Neurology,11254,Wernicke's Encephalopathy,,,,
314,Neurology,11845,Hyper Acute Stroke Unit,,,,
315,Oncology,11255,Care Of Hickman Catheter,,,,
315,Oncology,11256,Delivery Of Complex Chemotherapy For Neoplasm,,,,
315,Oncology,11257,Febrile Neutropenia,,,,
315,Oncology,11258,Neutropenic Sepsis,,,,
315,Oncology,11841,Cancer Services - Advice,,,,
315,Oncology,11842,Cancer Services - Signposting,,,,
315,Oncology,11843,Cancer Support Service,,,,
316,Palliative Care,11259,Care Of Syringe Driver,,,,
316,Palliative Care,11260,End Of Life Care,,,,
316,Palliative Care,11261,Marie Curie,,,,
316,Palliative Care,11262,Metastases,,,,
316,Palliative Care,11263,Palliative Care  ,,,,
316,Palliative Care,11264,Specialist Palliative Care,,,,
316,Palliative Care,11265,Terminal Care,,,,
316,Palliative Care,11266,Terminal Care ,,,,
